classes         |precision  |recall     |f1-score   |support   |
B-art           |      0.69 |      0.17 |      0.27 |      66.0|
B-eve           |      0.61 |      0.28 |      0.38 |      40.0|
B-geo           |      0.87 |      0.87 |      0.87 |    5697.0|
B-gpe           |      0.95 |      0.94 |      0.95 |    2498.0|
B-nat           |      0.67 |      0.45 |      0.54 |      22.0|
B-org           |      0.75 |      0.68 |      0.71 |    2992.0|
B-per           |      0.84 |      0.81 |      0.82 |    2568.0|
B-tim           |      0.92 |      0.88 |       0.9 |    3064.0|
I-art           |       0.0 |       0.0 |       0.0 |      37.0|
I-eve           |      0.33 |      0.12 |      0.17 |      34.0|
I-geo           |      0.84 |      0.71 |      0.77 |    1118.0|
I-gpe           |       1.0 |      0.61 |      0.76 |      31.0|
I-nat           |       0.0 |       0.0 |       0.0 |       6.0|
I-org           |      0.69 |      0.71 |       0.7 |    2503.0|
I-per           |      0.84 |      0.88 |      0.86 |    2559.0|
I-tim           |      0.84 |      0.74 |      0.79 |    1017.0|
O               |      0.99 |      0.99 |      0.99 |  133608.0|
pad             |       1.0 |       1.0 |       1.0 |  381690.0|
accuracy        |      0.99 |      0.99 |      0.99 |      0.99|
macro avg       |      0.71 |       0.6 |      0.64 |  539550.0|
weighted avg    |      0.99 |      0.99 |      0.99 |  539550.0|
